build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,  probe_time_ms,  sort_time_ms
    3619376,   0.4002048019,              1,            1466416,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  21.4881023407,  0.0000000000
    3619376,   0.4092160042,              1,            1466416,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  13.0822013855, 38.4696571350
    3619120,   0.4002239976,              1,            1466160,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  21.0678718567,  0.0000000000
    3619120,   0.4186112009,              1,            1466160,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  12.7331647873, 38.4896064758
    7163824,   0.5297728013,              1,            2862000,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  23.9542972565,  0.0000000000
    7163824,   0.5865151960,              1,            2862000,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  13.9042751312, 38.7119934082
    7163696,   0.5309375994,              1,            2861872,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  23.8909053802,  0.0000000000
    7163696,   0.5574463990,              1,            2861872,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  13.5228992462, 38.5141120911
   14262320,   0.7149504147,              1,            5662768,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  34.8036544800,  0.0000000000
   14262320,   0.7995071985,              1,            5662768,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.8727294922, 38.5160896301
   14259120,   0.7248064101,              1,            5659568,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  34.8328453064,  0.0000000000
   14259120,   0.7671871886,              1,            5659568,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  14.6443325043, 38.7258049011
   28836272,   1.3413056061,              1,           11641264,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  64.2435012817,  0.0000000000
   28836272,   1.3939967752,              1,           11641264,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  16.2222976685, 38.4564285278
   28821040,   1.3054912180,              1,           11626032,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  64.1976486206,  0.0000000000
