build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,     probe_time_ms,  sort_time_ms
 6820443184, 305.5465473175,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            0,    rtx_index,           32,    241.7475128174,  0.0000000000
 6820443184, 303.9930852890,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                0,      5,             0,            1,    rtx_index,           32,     39.3746688843, 31.3097148895
 6820443184, 305.5587383270,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            0,    rtx_index,           32,    716.0297119141,  0.0000000000
 6820443184, 303.5032922745,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                2,      5,             0,            1,    rtx_index,           32,     76.6884475708, 31.3417030334
 6820443184, 305.4679769516,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            0,    rtx_index,           32,   2080.0116699219,  0.0000000000
 6820443184, 304.4337842941,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                4,      5,             0,            1,    rtx_index,           32,    169.2340972900, 31.3627521515
 6820443184, 306.0756235123,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            0,    rtx_index,           32,   7274.8968750000,  0.0000000000
 6820443184, 305.2259525299,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                6,      5,             0,            1,    rtx_index,           32,    559.8781127930, 31.4064201355
 6820443184, 306.5038375854,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            0,    rtx_index,           32,  27898.6875000000,  0.0000000000
 6820443184, 305.1701850891,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,                8,      5,             0,            1,    rtx_index,           32,   2145.5448730469, 31.4726142883
 6820443184, 306.5666732788,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            0,    rtx_index,           32, 110203.7218750000,  0.0000000000
 6820443184, 305.6716993332,              1,         2419547440,    67108864,         32,               26,                      0,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   8496.5957031250, 31.5390331268
 7087590192, 330.2670072556,              1,         2686694448,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  31003.1246093750,  0.0000000000
 7087590192, 329.9377779007,              1,         2686694448,   268435456,         32,               26,                      2,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   2308.1742675781, 31.5619392395
 7228316976, 336.8993009567,              1,         2827421232,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,  10733.6261718750,  0.0000000000
 7228316976, 336.6374547958,              1,         2827421232,  1073741824,         32,               26,                      4,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,   1191.5438232422, 30.6057853699
 3662121392, 173.6146194458,              1,         1461671472,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   4186.7622070312,  0.0000000000
 3662121392, 177.0138608932,              1,         1461671472,  2147483648,         32,               25,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    349.5127807617, 32.4570747375
 1828662320,  85.7567297935,              1,          728435504,  1073741824,         32,               24,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   3946.9685546875,  0.0000000000
 1828662320,  88.7158724785,              1,          728435504,  1073741824,         32,               24,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    218.2547912598, 31.5750720978
  915158192,  42.9047358751,              1,          365042864,   536870912,         32,               23,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   3519.0408203125,  0.0000000000
  915158192,  45.4710781097,              1,          365042864,   536870912,         32,               23,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    198.9396606445, 30.7222785950
  460713776,  21.5266048312,              1,          185654192,   268435456,         32,               22,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   2811.3575683594,  0.0000000000
  460713776,  23.1124995589,              1,          185654192,   268435456,         32,               22,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    189.6612579346, 31.0630401611
  230203184,  10.7533245564,              1,           92671408,   134217728,         32,               21,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   2068.8127441406,  0.0000000000
  230203184,  11.5341057062,              1,           92671408,   134217728,         32,               21,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    173.4141998291, 31.4479679108
  114934576,   5.4303678393,              1,           46166704,    67108864,         32,               20,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,   1421.6494628906,  0.0000000000
  114934576,   5.7779327780,              1,           46166704,    67108864,         32,               20,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    157.0746093750, 31.5749954224
   57931568,   2.6634559527,              1,           23545648,    33554432,         32,               19,                      6,                 0,               27,               10,      5,             0,            0,    rtx_index,           32,    897.1237915039,  0.0000000000
   57931568,   2.8123391613,              1,           23545648,    33554432,         32,               19,                      6,                 0,               27,               10,      5,             0,            1,    rtx_index,           32,    149.5172363281, 31.9088897705
