build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,  probe_time_ms, sort_time_ms
    3538480,   0.4334591951,              1,            1400496,           1.0000000000,      build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  16.4900863647, 0.0000000000
    3538480,   0.4394176047,              1,            1400496,           1.0000000000,      build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.4742015839, 6.4403455734
    3538352,   0.4361535985,              1,            1400368,           1.0000000000,      build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  16.4625984192, 0.0000000000
    3538352,   0.4542912003,              1,            1400368,           1.0000000000,      build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  14.3927936554, 6.4093952179
    7134000,   0.5139008008,              1,            2862128,           1.0000000000,      build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  19.0568637848, 0.0000000000
    7134000,   0.5271232042,              1,            2862128,           1.0000000000,      build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.8486591339, 6.4284351349
    7134000,   0.5171584051,              1,            2862128,           1.0000000000,      build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  19.2565563202, 0.0000000000
    7134000,   0.5317695968,              1,            2862128,           1.0000000000,      build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  14.7607553482, 6.4225215912
   14318512,   0.6935871936,              1,            5778864,           1.0000000000,      build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  21.0988613129, 0.0000000000
   14318512,   0.6937600054,              1,            5778864,           1.0000000000,      build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  15.2338558197, 6.4280575752
   14307376,   0.6928575911,              1,            5767728,           1.0000000000,      build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  21.1982082367, 0.0000000000
   14307376,   0.7325631998,              1,            5767728,           1.0000000000,      build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  15.2223232269, 6.4454655647
   28305328,   1.0130495951,              1,           11230128,           1.0000000000,      build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  22.9199550629, 0.0000000000
   28305328,   0.9999103867,              1,           11230128,           1.0000000000,      build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  15.6653568268, 6.3883008003
   28300208,   0.9788927950,              1,           11225008,           1.0000000000,      build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  23.2056449890, 0.0000000000
   28300208,   1.0086656034,              1,           11225008,           1.0000000000,      build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  15.6411775589, 6.4014335632
   56555440,   1.7332672134,              1,           22409008,           1.0000000000,      build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  36.6511299133, 0.0000000000
   56555440,   1.7584640130,              1,           22409008,           1.0000000000,      build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  16.2627841949, 6.4212928772
   56550576,   1.6984959736,              1,           22404144,           1.0000000000,      build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  36.6227722168, 0.0000000000
   56550576,   1.7171904057,              1,           22404144,           1.0000000000,      build_size, 1.0000000000,         32,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  16.2326595306, 6.4159615517
  114145840,   3.3625664175,              1,           45856944,           1.0000000000,      build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  49.3651458740, 0.0000000000
  114145840,   3.4786943972,              1,           45856944,           1.0000000000,      build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  16.9965633392, 6.4595839500
  114016816,   3.0923519790,              1,           45727920,           1.0000000000,      build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  49.2469955444, 0.0000000000
  114016816,   3.3026495993,              1,           45727920,           1.0000000000,      build_size, 1.0000000000,         32,               20,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  16.9168701172, 6.3870593071
  227742000,   6.7396544218,              1,           91168304,           1.0000000000,      build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  60.0260734558, 0.0000000000
  227742000,   7.1106944263,              1,           91168304,           1.0000000000,      build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  17.6932735443, 6.3664127350
  227441072,   5.9448446691,              1,           90867376,           1.0000000000,      build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  60.0232131958, 0.0000000000
  227441072,   6.2801600158,              1,           90867376,           1.0000000000,      build_size, 1.0000000000,         32,               21,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  17.5490947723, 6.3743680000
  451962672,  12.0082049370,              1,          178819376,           1.0000000000,      build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  69.5891311646, 0.0000000000
  451962672,  12.6805248022,              1,          178819376,           1.0000000000,      build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  18.8010498047, 6.3557567596
  451332784,  11.1251393080,              1,          178189488,           1.0000000000,      build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  69.1988800049, 0.0000000000
  451332784,  11.7433409214,              1,          178189488,           1.0000000000,      build_size, 1.0000000000,         32,               22,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  18.2273662567, 6.3578111649
