build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,  probe_time_ms,  sort_time_ms
    3544624,   0.4156096000,              1,            1406640,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  16.5012992859,  0.0000000000
    3544624,   0.4317760061,              1,            1406640,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.0570623398, 24.3488769531
    3544624,   0.4229119953,              1,            1406640,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  16.2764350891,  0.0000000000
    3544624,   0.4447040092,              1,            1406640,           1.0000000000,      build_size, 1.0000000000,         64,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  13.7996288300, 24.4205444336
    7073328,   0.4989056014,              1,            2801456,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  18.2546367645,  0.0000000000
    7073328,   0.5334463987,              1,            2801456,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.3667200089, 24.4448703766
    7073328,   0.4907647986,              1,            2801456,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  18.1547325134,  0.0000000000
    7073328,   0.5233215958,              1,            2801456,           1.0000000000,      build_size, 1.0000000000,         64,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  14.1162494659, 24.4955009460
   14140208,   0.6770432033,              1,            5600560,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  20.9033084869,  0.0000000000
   14140208,   0.7138239868,              1,            5600560,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  14.5676158905, 24.4508480072
   14134960,   0.7091776021,              1,            5595312,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  20.3142913818,  0.0000000000
   14134960,   0.7066303972,              1,            5595312,           1.0000000000,      build_size, 1.0000000000,         64,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  14.9121023178, 24.5090305328
   28235568,   1.0110399947,              1,           11160368,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  22.5414592743,  0.0000000000
   28235568,   1.0145535953,              1,           11160368,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1,    rtx_index,           32,  15.5316225052, 24.5311294556
   28218800,   1.0142655969,              1,           11143600,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0,    rtx_index,           32,  22.7520191193,  0.0000000000
   28218800,   1.0133696042,              1,           11143600,           1.0000000000,      build_size, 1.0000000000,         64,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1,    rtx_index,           32,  15.1126016617, 24.5172092438
   56766000,   1.7427519962,              1,           22619568,           1.0000000000,      build_size, 1.0000000000,         64,               19,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0,    rtx_index,           32,  37.5138359070,  0.0000000000
