build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity,  i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,     sort_time_ms
     665087,   0.0912384015,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,     9.5217409134,     0.0000000000
     665087,   0.0888896015,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     2.6425280094,     5.8456448555
     665087,   0.0904384010,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,     9.4993534088,     0.0000000000
     665087,   0.0899584010,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     2.7353088856,     5.8457728386
    1324543,   0.0920448016,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    12.2182720184,     0.0000000000
    1324543,   0.0913024012,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     2.9018111706,     5.8406847954
    1324543,   0.0916928012,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    12.2267648697,     0.0000000000
    1324543,   0.0908480018,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     2.9771776199,     5.8335295677
    2643455,   0.0961856026,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    14.5797121048,     0.0000000000
    2643455,   0.0932928029,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     3.1297343731,     5.8185727119
