build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,  sort_time_ms
 1896953343,  15.6623362243,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            0, sorted_array,           32,   172.3690765381,  0.0000000000
 1896953343,  16.2337218285,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            1, sorted_array,           32,    11.3680572510, 42.1081207275
 1896953343,  15.6672190249,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            0, sorted_array,           32,   241.7197082520,  0.0000000000
 1896953343,  16.2096895099,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            1, sorted_array,           32,    12.7938047409, 42.0911102295
 1896953343,  15.6702273548,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            0, sorted_array,           32,   518.4682373047,  0.0000000000
 1896953343,  16.2226432264,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            1, sorted_array,           32,    13.3810430527, 42.0853256226
 1896953343,  15.6646527708,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            0, sorted_array,           32,  1665.1092041016,  0.0000000000
 1896953343,  16.2541820884,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            1, sorted_array,           32,    19.2104061127, 42.0737030029
 1896953343,  15.6654721975,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            0, sorted_array,           32,  6174.9839843750,  0.0000000000
 1896953343,  16.2510209739,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            1, sorted_array,           32,    56.2421890259, 42.1158912659
 1896953343,  15.6642625630,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 24316.1746093750,  0.0000000000
 1896953343,  16.2371905684,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   205.4139923096, 42.1484992981
 1896953343,  15.6719809413,              1,          805306368,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  6132.2654296875,  0.0000000000
 1896953343,  16.2652415156,              1,          805306368,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    54.4311035156, 42.1444992065
 1896953343,  15.6749953210,              1,          805306368,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  1642.9717773438,  0.0000000000
 1896953343,  16.2424638212,              1,          805306368,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    19.0097408295, 42.1713928223
 1896953343,  15.6994370461,              1,          805306368,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   516.5359008789,  0.0000000000
 1896953343,  16.2864963055,              1,          805306368,  4294967296,         64,               26,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    14.3107198715, 42.3540359497
 1896953343,  15.7221312106,              1,          805306368, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   237.1546875000,  0.0000000000
 1896953343,  16.2998717725,              1,          805306368, 17179869184,         64,               26,                      8,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    13.3960065842, 42.3450622559
 1896953343,  15.7255105853,              1,          805306368, 68719476736,         64,               26,                     10,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   157.6871704102,  0.0000000000
 1896953343,  16.3180156946,              1,          805306368, 68719476736,         64,               26,                     10,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    11.9879486084, 42.3700469971
  948481535,   7.7291777492,              1,          402653184,  2147483648,         64,               25,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   472.5604064941,  0.0000000000
  948481535,   8.0911231071,              1,          402653184,  2147483648,         64,               25,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,    10.1820350647, 42.1093826294
  474245631,   3.8478912227,              1,          201326592,  1073741824,         64,               24,                      6,                 0,               27,               10,      5,             0,            0, sorted_array,           32,   394.7241821289,  0.0000000000
  474245631,   4.0088319562,              1,          201326592,  1073741824,         64,               24,                      6,                 0,               27,               10,      5,             0,            1, sorted_array,           32,     8.6114305496, 42.0173957825
