build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity,  i_configuration,   i_hit_rate, i_key_size, i_log_build_size, i_log_key_multiplicity, i_log_num_batches, i_log_probe_size, i_misses_are_outliers, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,     sort_time_ms
     670207,   0.0724800001,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    13.2224512100,     0.0000000000
     670207,   0.0741311993,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     4.6782014847,     8.0234432220
     670207,   0.0701183996,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    13.2148799896,     0.0000000000
     670207,   0.0735039994,              1,             262144,           1.0000000000,       build_size, 1.0000000000,         32,               15,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     4.6057024002,     8.0093185425
    1330687,   0.0729023985,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    15.7483007431,     0.0000000000
    1330687,   0.0772095995,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     5.0441919327,     8.0037889481
    1330687,   0.0726783994,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    15.7669376373,     0.0000000000
    1330687,   0.0761855995,              1,             524288,           1.0000000000,       build_size, 1.0000000000,         32,               16,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     4.9419840813,     8.0037695885
    2651647,   0.0803584011,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    18.7030532837,     0.0000000000
    2651647,   0.0804992007,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     5.4709759712,     8.0048191071
    2651647,   0.0790016005,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    18.8401660919,     0.0000000000
    2651647,   0.0798784008,              1,            1048576,           1.0000000000,       build_size, 1.0000000000,         32,               17,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     5.4087488174,     8.0129601479
    5293567,   0.0836736025,              1,            2097152,           1.0000000000,       build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            0, sorted_array,           32,    21.8129089355,     0.0000000000
    5293567,   0.0850496026,              1,            2097152,           1.0000000000,       build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             0,            1, sorted_array,           32,     5.9518208504,     8.0075583458
    5293567,   0.0800448006,              1,            2097152,           1.0000000000,       build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            0, sorted_array,           32,    20.8150463104,     0.0000000000
    5293567,   0.0853184022,              1,            2097152,           1.0000000000,       build_size, 1.0000000000,         32,               18,                      0,                 0,               27,                     0,             0.0000000000,      5,             1,            1, sorted_array,           32,     5.9314176559,     8.0052927971
