build_bytes,  build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size,    probe_time_ms,  sort_time_ms
 1896961535,  21.2952775180,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            0, sorted_array,           32,   330.7890014648,  0.0000000000
 1896961535,  22.0167681932,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                0,      5,             0,            1, sorted_array,           32,    15.3641729355, 57.1107063293
 1896961535,  21.2942207277,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            0, sorted_array,           32,   506.5768981934,  0.0000000000
 1896961535,  22.0154625595,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                2,      5,             0,            1, sorted_array,           32,    17.4777729034, 57.1022521973
 1896961535,  21.2917502999,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            0, sorted_array,           32,  1242.1750732422,  0.0000000000
 1896961535,  22.0188989401,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                4,      5,             0,            1, sorted_array,           32,    19.7982208252, 57.0916221619
 1896961535,  21.2934338748,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            0, sorted_array,           32,  4076.8990234375,  0.0000000000
 1896961535,  22.0080829322,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                6,      5,             0,            1, sorted_array,           32,    40.3703681946, 57.0852996826
 1896961535,  21.3005691350,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            0, sorted_array,           32, 15364.1072265625,  0.0000000000
 1896961535,  22.0059966683,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,                8,      5,             0,            1, sorted_array,           32,   130.8720153809, 57.1088829041
 1896961535,  21.2999616623,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 60519.6070312500,  0.0000000000
 1896961535,  21.9971584797,              1,          805306368,    67108864,         64,               26,                      0,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   533.0099731445, 57.0867393494
 1896961535,  21.3028994501,              1,          805306368,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            0, sorted_array,           32, 15278.1087890625,  0.0000000000
 1896961535,  22.0083007336,              1,          805306368,   268435456,         64,               26,                      2,                 0,               27,               10,      5,             0,            1, sorted_array,           32,   127.2823806763, 57.1189254761
 1896961535,  21.3128893018,              1,          805306368,  1073741824,         64,               26,                      4,                 0,               27,               10,      5,             0,            0, sorted_array,           32,  4025.7571289062,  0.0000000000
